,khipu_id,name,cluster_id,cluster_position,m,b,residual,num_cords,cord_values,mean_cord_value
0,1000184,AS013,1005554,6,-84.50767544287255,36.0,0.8320000000000001,4,"30, 10, 0, 0",10.0
1,1000191,AS020,1005628,0,-80.53767779197439,55.0,0.6559485530546624,5,"50, 37, 44, 39, 17",37.0
2,1000191,AS020,1005629,1,-82.40535663140855,51.5,0.9681372549019608,5,"44, 38, 28, 25, 12",29.0
3,1000194,AS023,1005652,0,-56.309932474020215,11.0,0.6685714285714286,7,"10, 10, 10, 10, 0, 0, 0",5.0
4,1000200,AS028,1005822,0,-63.434948822922024,8.0,0.8571428571428572,4,"8, 3, 2, 0",3.0
5,1000235,AS036,1006245,5,-78.6900675259798,32.0,0.6504065040650406,7,"26, 34, 8, 4, 8, 0, 4",12.0
6,1000236,AS037,1006259,2,-50.47736872882888,12.666666666666668,0.7113387395077536,10,"10, 10, 10, 10, 10, 10, 0, 3, 0, 0",6.0
7,1000213,AS039,1006031,1,-57.994616791916506,8.0,0.6260869565217393,4,"7, 6, 1, 3",4.0
8,1000213,AS039,1006035,5,-50.1944289077348,6.0,0.72,4,"5, 4, 1, 2",3.0
9,1000212,AS045,1005994,8,-83.48019824834303,58.0,0.8252384316495938,7,"60, 44, 26, 18, 0, 10, 6",23.0
10,1000171,AS060,1005338,0,-38.659808254090095,4.0,0.6545454545454547,4,"5, 2, 1, 1",2.0
11,1000224,AS065B,1006104,0,-77.47119229084849,14.999999999999996,0.8999999999999999,3,"11, 8, 0",6.0
12,1000234,AS092,1006239,9,-71.56505117707798,21.999999999999996,0.8571428571428568,3,"21, 17, 12",16.0
13,1000055,AS111,1002175,1,-86.42366562500266,102.0,0.6213592233009708,5,"110, 40, 50, 40, 30",54.0
14,1000092,AS134,1002832,5,-85.23635830927381,36.999999999999986,0.9911504424778761,3,"26, 14, 0",13.0
15,1000130,AS155,1004486,0,-45.0,8.0,0.6666666666666667,5,"8, 7, 6, 2, 4",5.0
16,1000143,AS169,1004701,2,-50.1944289077348,6.0,0.8307692307692307,4,"6, 3, 3, 1",3.0
17,1000146,AS172,1004769,7,-77.47119229084849,21.999999999999996,0.7388059701492538,3,"20, 10, 10",13.0
18,1000059,AS173,1002235,2,-85.0302592718897,64.5,0.6611111111111111,5,"66, 20, 38, 21, 7",30.0
19,1000150,AS178,1005040,6,-75.96375653207353,16.0,0.7135135135135136,4,"18, 4, 5, 0",6.0
20,1000158,AS185,1005159,3,-82.40535663140855,21.999999999999993,0.6847826086956521,3,"20, 1, 2",7.0
21,1000161,AS188,1005197,1,-86.99172788547656,113.60000000000001,0.6400552261837084,6,"134, 39, 53, 37, 0, 23",47.0
22,1000162,AS189,1005198,0,-80.26462610449505,40.400000000000006,0.7443165871456638,6,"37, 40, 18, 8, 11, 10",20.0
23,1000162,AS189,1005200,2,-73.73979529168804,22.0,0.6857142857142857,6,"28, 9, 13, 6, 6, 2",10.0
24,1000014,AS203,1000506,1,-50.1944289077348,6.0,0.72,4,"6, 4, 4, 0",3.0
25,1000034,AS212,1001729,0,-82.09283729704156,40.0,0.7623529411764707,4,"29, 33, 15, 11",22.0
26,1000034,AS212,1001731,2,-74.05460409907715,18.5,0.6957831325301205,5,"19, 8, 4, 6, 3",8.0
27,1000034,AS212,1001733,4,-56.309932474020215,10.5,0.69,5,"12, 6, 7, 3, 4",6.0
28,1000034,AS212,1001741,12,-63.434948822922024,8.0,0.88,4,"7, 4, 1, 1",3.0
29,1000438,HP019,1015025,2,-56.30993247402021,4.999999999999998,0.75,3,"4, 1, 1",2.0
30,1000572,HP043,1018598,0,-56.309932474020215,8.5,0.7075471698113207,5,"9, 8, 2, 2, 2",4.0
31,1000581,HP051 A,1018710,7,-75.96375653207353,18.0,0.7005649717514124,4,"20, 6, 6, 3",8.0
32,1000582,HP051 B,1018724,10,-77.47119229084849,13.999999999999996,0.8289473684210528,3,"10, 3, 2",5.0
33,1000625,JC001,1019615,0,-67.38013505195957,12.0,0.7792207792207791,4,"12, 10, 3, 2",6.0
34,1000625,JC001,1019617,2,-86.23596513509428,58.0,0.7989487516425755,4,"40, 40, 1, 1",20.0
35,1000625,JC001,1019619,4,-84.55966796899449,52.5,0.7026231263383298,5,"50, 40, 4, 5, 10",21.0
36,1000625,JC001,1019620,5,-83.29016319224307,44.5,0.6448699421965318,5,"40, 40, 4, 5, 10",19.0
37,1000625,JC001,1019621,6,-63.434948822922024,11.0,0.7777777777777778,5,"10, 10, 3, 2, 2",5.0
38,1000627,JC003,1019627,1,-38.659808254090095,10.0,0.7999999999999999,4,"10, 9, 8, 6",8.0
39,1000641,JC017,1019700,0,-82.40535663140855,82.5,0.6153474903474904,5,"69, 69, 69, 63, 32",60.0
40,1000643,JC019,1019706,0,-80.53767779197439,32.99999999999999,0.6666666666666665,3,"32, 16, 17",21.0
