,name,num_banded_clusters,num_seriated_clusters,percent_banded_clusters,percent_seriated_clusters,num_pendant_pendant_sum,pendant_pendant_sum,num_pendant_pendants_color_sum,pendant_pendants_color_sum,num_indexed_pendant_sum,indexed_pendant_sum,num_subsidiary_pendant_sum,subsidiary_pendant_sum,num_cluster_cluster_sum,cluster_cluster_sum,num_cluster_sum_bands,cluster_sum_bands,num_ascher_decreasing_cluster,ascher_decreasing_cluster
0,"<a target=""_blank"" href=""./sum_relations/AS001.html"">AS001</a>",4,0,100%,0%,1,"<a href=""./pendant_pendant_sum/AS001_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS001_pendant_pendant_sum_L.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS001_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS001_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,0,,0,,0,
1,"<a target=""_blank"" href=""./sum_relations/AS002.html"">AS002</a>",1,1,50%,50%,1,"<a href=""./pendant_pendant_sum/AS002_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS002_pendant_pendant_sum_L.jpg""></a>",0,,0,,0,,0,,0,,0,
2,"<a target=""_blank"" href=""./sum_relations/AS003.html"">AS003</a>",2,0,100%,0%,2,"<a href=""./pendant_pendant_sum/AS003_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS003_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS003_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS003_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS003_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS003_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,1,"<a href=""./cluster_cluster_sum/AS003_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS003_cluster_cluster_sum.jpg""></a>",0,,0,
3,"<a target=""_blank"" href=""./sum_relations/AS004.html"">AS004</a>",6,1,86%,14%,2,"<a href=""./pendant_pendant_sum/AS004_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS004_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS004_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS004_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,0,
4,"<a target=""_blank"" href=""./sum_relations/AS005.html"">AS005</a>",4,7,36%,64%,5,"<a href=""./pendant_pendant_sum/AS005_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS005_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS005_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS005_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS005_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS005_pendant_pendants_color_sum_R.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS005_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS005_indexed_pendant_sum_L.jpg""></a>",0,,0,,0,,0,
5,"<a target=""_blank"" href=""./sum_relations/AS006.html"">AS006</a>",8,4,67%,33%,16,"<a href=""./pendant_pendant_sum/AS006_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS006_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS006_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS006_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS006_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS006_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,3,"<a href=""./cluster_cluster_sum/AS006_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS006_cluster_cluster_sum.jpg""></a>",0,,0,
6,"<a target=""_blank"" href=""./sum_relations/AS007.html"">AS007</a>",26,11,70%,30%,82,"<a href=""./pendant_pendant_sum/AS007_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS007_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS007_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS007_pendant_pendant_sum_R.jpg""></a>",39,"<a href=""./pendant_pendants_color_sum/AS007_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS007_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS007_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS007_pendant_pendants_color_sum_R.jpg""></a>",57,"<a href=""./indexed_pendant_sum/AS007_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS007_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS007_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS007_indexed_pendant_sum_R.jpg""></a>",4,"<a href=""./subsidiary_pendant_sum/AS007_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS007_subsidiary_pendant_sum_R.jpg""></a>",3,"<a href=""./cluster_cluster_sum/AS007_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS007_cluster_cluster_sum.jpg""></a>",0,,0,
7,"<a target=""_blank"" href=""./sum_relations/AS008.html"">AS008</a>",5,41,11%,89%,86,"<a href=""./pendant_pendant_sum/AS008_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS008_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS008_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS008_pendant_pendant_sum_R.jpg""></a>",16,"<a href=""./pendant_pendants_color_sum/AS008_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS008_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS008_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS008_pendant_pendants_color_sum_R.jpg""></a>",12,"<a href=""./indexed_pendant_sum/AS008_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS008_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS008_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS008_indexed_pendant_sum_R.jpg""></a>",6,"<a href=""./subsidiary_pendant_sum/AS008_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS008_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS008_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS008_subsidiary_pendant_sum_R.jpg""></a>",1,"<a href=""./cluster_cluster_sum/AS008_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS008_cluster_cluster_sum.jpg""></a>",0,,0,
8,"<a target=""_blank"" href=""./sum_relations/AS009.html"">AS009</a>",1,4,20%,80%,0,,0,,0,,0,,0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS009_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS009_ascher_decreasing_cluster.jpg""></a>"
9,"<a target=""_blank"" href=""./sum_relations/AS010.html"">AS010</a>",9,4,69%,31%,5,"<a href=""./pendant_pendant_sum/AS010_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS010_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS010_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS010_pendant_pendant_sum_R.jpg""></a>",0,,2,"<a href=""./indexed_pendant_sum/AS010_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS010_indexed_pendant_sum_L.jpg""></a>",2,"<a href=""./subsidiary_pendant_sum/AS010_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS010_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
10,"<a target=""_blank"" href=""./sum_relations/AS012.html"">AS012</a>",5,2,71%,29%,7,"<a href=""./pendant_pendant_sum/AS012_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS012_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS012_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS012_pendant_pendant_sum_R.jpg""></a>",3,"<a href=""./pendant_pendants_color_sum/AS012_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS012_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,0,,0,,0,
11,"<a target=""_blank"" href=""./sum_relations/AS013.html"">AS013</a>",7,4,64%,36%,5,"<a href=""./pendant_pendant_sum/AS013_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS013_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS013_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS013_pendant_pendant_sum_R.jpg""></a>",4,"<a href=""./pendant_pendants_color_sum/AS013_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS013_pendant_pendants_color_sum_L.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS013_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS013_indexed_pendant_sum_L.jpg""></a>",0,,0,,1,"<a href=""./cluster_sum_bands/AS013_cluster_sum_bands.html""><img src=""./cluster_sum_bands/images/table_thumbnails/AS013_cluster_sum_bands.jpg""></a>",1,"<a href=""./ascher_decreasing_cluster/AS013_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS013_ascher_decreasing_cluster.jpg""></a>"
