,khipu_id,name,num_sum_clusters,min_sum,max_sum,mean_sum
0,1000166,AS010,0,0,0,0
1,1000167,AS011,0,0,0,0
2,1000180,AS012,0,0,0,0
3,1000184,AS013,0,0,0,0
4,1000185,AS014,0,0,0,0
5,1000186,AS015,0,0,0,0
6,1000187,AS016,0,0,0,0
7,1000188,AS017,0,0,0,0
8,1000189,AS018,0,0,0,0
9,1000190,AS019,0,0,0,0
10,1000191,AS020,0,0,0,0
11,1000192,AS021,0,0,0,0
12,1000194,AS023,0,0,0,0
13,1000195,AS024,0,0,0,0
14,1000196,AS025,0,0,0,0
15,1000197,AS026A,0,0,0,0
16,1000198,AS026B,0,0,0,0
17,1000199,AS027,0,0,0,0
18,1000200,AS028,0,0,0,0
19,1000201,AS029,0,0,0,0
20,1000206,AS035C,0,0,0,0
21,1000207,AS035D,0,0,0,0
22,1000235,AS036,0,0,0,0
23,1000236,AS037,0,0,0,0
24,1000213,AS039,0,0,0,0
25,1000209,AS041,1,194,194,194
26,1000210,AS042,0,0,0,0
27,1000211,AS043,0,0,0,0
28,1000345,AS044,3,34,48,41
29,1000212,AS045,0,0,0,0
30,1000229,AS048,0,0,0,0
31,1000361,AS050,0,0,0,0
32,1000179,AS054,0,0,0,0
33,1000182,AS055,0,0,0,0
34,1000173,AS059,0,0,0,0
35,1000171,AS060,0,0,0,0
36,1000177,AS061/MA036,0,0,0,0
37,1000178,AS062,1,25,25,25
38,1000216,AS063,0,0,0,0
39,1000223,AS063B,0,0,0,0
40,1000217,AS064,0,0,0,0
41,1000218,AS065,0,0,0,0
42,1000224,AS065B,0,0,0,0
43,1000369,AS066,9,25,237,84
44,1000096,AS069,16,21,177,56
45,1000368,AS071,0,0,0,0
46,1000174,AS073,0,0,0,0
47,1000366,AS074,0,0,0,0
48,1000342,AS075,0,0,0,0
49,1000220,AS076,0,0,0,0
50,1000221,AS077,0,0,0,0
51,1000172,AS078,0,0,0,0
52,1000346,AS079,0,0,0,0
53,1000222,AS080,0,0,0,0
54,1000225,AS081,0,0,0,0
55,1000226,AS082,0,0,0,0
56,1000168,AS083,0,0,0,0
57,1000231,AS085,0,0,0,0
58,1000232,AS089,0,0,0,0
59,1000233,AS090/N2,0,0,0,0
60,1000234,AS092,0,0,0,0
61,1000365,AS093,0,0,0,0
62,1000227,AS094,0,0,0,0
63,1000043,AS101 - Part 1,0,0,0,0
64,1000044,AS101 - Part 2,0,0,0,0
65,1000054,AS110,0,0,0,0
66,1000055,AS111,0,0,0,0
67,1000056,AS112,0,0,0,0
68,1000071,AS115,0,0,0,0
69,1000078,AS122,0,0,0,0
70,1000082,AS125,0,0,0,0
71,1000085,AS128,0,0,0,0
72,1000086,AS129,0,0,0,0
73,1000090,AS132,0,0,0,0
74,1000091,AS133,0,0,0,0
75,1000092,AS134,0,0,0,0
76,1000112,AS137,0,0,0,0
77,1000114,AS139,0,0,0,0
78,1000117,AS142,0,0,0,0
79,1000128,AS153,0,0,0,0
80,1000130,AS155,0,0,0,0
81,1000131,AS156,7,71,500,136
82,1000132,AS157,0,0,0,0
83,1000133,AS158,0,0,0,0
84,1000058,AS159,1,57,57,57
85,1000064,AS160,0,0,0,0
86,1000138,AS164,0,0,0,0
87,1000142,AS168,0,0,0,0
88,1000143,AS169,0,0,0,0
89,1000144,AS170,0,0,0,0
90,1000145,AS171,1,25,25,25
91,1000146,AS172,1,1000,1000,1000
92,1000059,AS173,0,0,0,0
93,1000060,AS174,2,22,33,27
94,1000149,AS177,0,0,0,0
95,1000150,AS178,0,0,0,0
96,1000154,AS182,0,0,0,0
97,1000155,AS182B,0,0,0,0
98,1000156,AS183,0,0,0,0
99,1000157,AS184,0,0,0,0
100,1000158,AS185,0,0,0,0
101,1000159,AS186,0,0,0,0
102,1000160,AS187,0,0,0,0
103,1000161,AS188,0,0,0,0
104,1000162,AS189,0,0,0,0
105,1000066,AS191,0,0,0,0
106,1000067,AS192,0,0,0,0
107,1000068,AS193,0,0,0,0
108,1000061,AS194,0,0,0,0
109,1000062,AS195,0,0,0,0
110,1000069,AS196,0,0,0,0
111,1000070,AS197,0,0,0,0
112,1000163,AS198,0,0,0,0
113,1000164,AS199,6,127,587,395
114,1000165,AS200,0,0,0,0
115,1000026,AS201,0,0,0,0
116,1000013,AS202,0,0,0,0
117,1000014,AS203,0,0,0,0
118,1000027,AS204,0,0,0,0
119,1000028,AS205,0,0,0,0
120,1000015,AS206,0,0,0,0
121,1000029,AS207A,0,0,0,0
122,1000030,AS207B,0,0,0,0
123,1000031,AS207C,0,0,0,0
124,1000032,AS209,0,0,0,0
125,1000017,AS210,0,0,0,0
126,1000033,AS211,0,0,0,0
127,1000034,AS212,1,22,22,22
128,1000035,AS213,0,0,0,0
129,1000036,AS214,1,43,43,43
130,1000037,AS215,0,0,0,0
131,1000038,AS215F,0,0,0,0
132,1000204,AS35A,0,0,0,0
133,1000205,AS35B,0,0,0,0
134,1000420,HP001,0,0,0,0
135,1000421,HP002,0,0,0,0
136,1000422,HP003,1,273,273,273
137,1000423,HP004,0,0,0,0
138,1000424,HP005,0,0,0,0
139,1000425,HP006,0,0,0,0
140,1000426,HP007,0,0,0,0
141,1000427,HP008,0,0,0,0
142,1000428,HP009,0,0,0,0
143,1000429,HP010,0,0,0,0
144,1000430,HP011,0,0,0,0
145,1000431,HP012,0,0,0,0
146,1000432,HP013,0,0,0,0
147,1000433,HP014,0,0,0,0
148,1000434,HP015,0,0,0,0
149,1000435,HP016,0,0,0,0
150,1000436,HP017,0,0,0,0
151,1000437,HP018,0,0,0,0
152,1000438,HP019,0,0,0,0
153,1000439,HP020,0,0,0,0
154,1000440,HP021,0,0,0,0
155,1000441,HP022,0,0,0,0
156,1000442,HP023,0,0,0,0
157,1000443,HP024,0,0,0,0
158,1000444,HP025,0,0,0,0
159,1000445,HP026,0,0,0,0
160,1000446,HP027,0,0,0,0
161,1000447,HP028,0,0,0,0
162,1000448,HP029,0,0,0,0
163,1000449,HP030,1,5414,5414,5414
164,1000450,HP031,0,0,0,0
165,1000451,HP032,0,0,0,0
166,1000562,HP033,0,0,0,0
167,1000563,HP034,0,0,0,0
168,1000566,HP037,0,0,0,0
169,1000567,HP038,0,0,0,0
170,1000593,HP039,0,0,0,0
171,1000569,HP040,0,0,0,0
172,1000571,HP042,0,0,0,0
173,1000572,HP043,0,0,0,0
174,1000573,HP044,0,0,0,0
175,1000575,HP046 A,0,0,0,0
176,1000576,HP046 B,0,0,0,0
177,1000579,HP049,0,0,0,0
178,1000580,HP050,2,22,23,22
179,1000581,HP051 A,0,0,0,0
180,1000582,HP051 B,0,0,0,0
181,1000583,HP052,0,0,0,0
182,1000584,HP053,0,0,0,0
183,1000585,HP054,0,0,0,0
184,1000586,HP056,1,45,45,45
185,1000587,HP057,0,0,0,0
186,1000625,JC001,2,27,125,76
187,1000626,JC002,0,0,0,0
188,1000627,JC003,0,0,0,0
189,1000628,JC004,0,0,0,0
190,1000629,JC005,0,0,0,0
191,1000630,JC006,0,0,0,0
192,1000631,JC007,0,0,0,0
193,1000632,JC008,0,0,0,0
194,1000633,JC009,0,0,0,0
195,1000634,JC010,1,41,41,41
196,1000635,JC011,0,0,0,0
197,1000636,JC012,0,0,0,0
198,1000637,JC013,0,0,0,0
199,1000638,JC014,0,0,0,0
200,1000639,JC015,0,0,0,0
201,1000640,JC016,0,0,0,0
202,1000641,JC017,0,0,0,0
203,1000642,JC018,0,0,0,0
