,khipu_id,name,cluster_sum,is_top_cluster,is_duplicate_cluster,left_cluster_id,left_cluster_position,left_num_cluster_cords,left_cluster_sum_string,right_cluster_id,right_cluster_position,right_num_cluster_cords,right_cluster_sum_string,cluster_distance,cord_count_distance
0,1000209,AS041,194,False,False,1005940,1,7,"LD@[2, 1]:5 + RL@[2, 2]:50 + MB@[2, 3]:7 + W:LD@[2, 4]:70 + <span style=""color:#F80000;"">RL@[2, 1, 1]:2</span> + <span style=""color:#F80000;"">RL@[2, 2, 1]:30</span> + <span style=""color:#F80000;"">RL@[2, 4, 1]:30</span>",1005945,6,6,"LD@[7, 1]:7 + W:RL@[7, 2]:80 + W:LD@[7, 3]:50 + <span style=""color:#F80000;"">RL@[7, 1, 1]:3</span> + <span style=""color:#F80000;"">MB@[7, 1, 2]:4</span> + <span style=""color:#F80000;"">W:RL@[7, 2, 1]:50</span>",5,1
1,1000345,AS044,34,True,False,1012946,6,7,"W:LB@[7, 1]:1 + W:LB@[7, 2]:11 + W:LB@[7, 3]:2 + W:LB@[7, 4]:11 + W:LB@[7, 5]:0 + W:LB@[7, 6]:6 + <span style=""color:#F80000;"">LB@[7, 3, 1]:3</span>",1012947,7,1,"W:LB@[8, 1]:34",1,6
2,1000345,AS044,43,False,False,1012952,12,5,"W:B@[13, 1]:1 + W:LB@[13, 2]:7 + W:LB@[13, 3]:27 + W:LB@[13, 4]:3 + <span style=""color:#F80000;"">LB@[13, 2, 1]:5</span>",1012962,22,13,"W-LB@[23, 1]:12 + W-LB@[23, 2]:6 + W-LB@[23, 3]:2 + W:LB@[23, 4]:8 + W:LB@[23, 5]:1 + W:LB@[23, 6]:3 + <span style=""color:#F80000;"">W@[23, 2, 1]:2</span> + <span style=""color:#F80000;"">LB@[23, 2, 2]:1</span> + <span style=""color:#F80000;"">B@[23, 2, 3]:2</span> + <span style=""color:#F80000;"">LB@[23, 3, 1]:1</span> + <span style=""color:#F80000;"">B@[23, 4, 1]:2</span> + <span style=""color:#F80000;"">LB@[23, 4, 2]:1</span> + <span style=""color:#F80000;"">LB@[23, 5, 1]:2</span>",10,8
3,1000345,AS044,48,True,False,1012956,16,9,"W:LB@[17, 1]:0 + W:LB@[17, 2]:10 + W:LB@[17, 3]:6 + W:LB@[17, 4]:16 + W:LB@[17, 5]:7 + W:LB@[17, 6]:4 + <span style=""color:#F80000;"">W:LB@[17, 3, 1]:2</span> + <span style=""color:#F80000;"">LB@[17, 3, 2]:2</span> + <span style=""color:#F80000;"">LB@[17, 4, 1]:1</span>",1012957,17,1,"W:LB@[18, 1]:48",1,8
4,1000178,AS062,25,False,False,1005390,1,4,"W@[2, 1]:6 + KB@[2, 2]:15 + <span style=""color:#F80000;"">KB@[2, 1, 1]:0</span> + <span style=""color:#F80000;"">W@[2, 2, 1]:4</span>",1005392,3,4,"W@[4, 1]:6 + KB@[4, 2]:11 + <span style=""color:#F80000;"">KB@[4, 1, 1]:1</span> + <span style=""color:#F80000;"">W@[4, 2, 1]:7</span>",2,0
5,1000369,AS066,55,False,False,1013518,8,3,"W@[9, 1]:16 + W@[9, 2]:15 + W@[9, 3]:24",1013536,24,4,"MB@[25, 1]:13 + MB@[25, 2]:17 + MB@[25, 3]:8 + MB@[25, 4]:17",16,1
6,1000369,AS066,25,False,False,1013539,27,4,"MB@[28, 1]:6 + MB@[28, 2]:7 + MB@[28, 3]:6 + MB@[28, 4]:6",1013540,28,4,"MB@[29, 1]:6 + MB@[29, 2]:6 + MB@[29, 3]:7 + MB@[29, 4]:6",1,0
7,1000369,AS066,25,False,False,1013542,30,4,"MB@[31, 1]:6 + MB@[31, 2]:6 + MB@[31, 3]:7 + MB@[31, 4]:6",1013552,40,4,"W@[41, 1]:7 + W@[41, 2]:6 + W@[41, 3]:6 + W@[41, 4]:6",10,0
8,1000369,AS066,52,False,True,1013549,37,4,"W@[38, 1]:13 + W@[38, 2]:13 + W@[38, 3]:13 + W@[38, 4]:13",1013551,39,4,"W@[40, 1]:13 + W@[40, 2]:13 + W@[40, 3]:13 + W@[40, 4]:13",2,0
9,1000369,AS066,100,False,False,1013555,43,4,"MB@[44, 1]:28 + MB@[44, 2]:28 + MB@[44, 3]:29 + MB@[44, 4]:15",1013557,44,4,"MB@[45, 1]:25 + MB@[45, 2]:25 + MB@[45, 3]:25 + @[45, 4]:25",1,0
