,khipu_id,name,num_cluster_sum_bands,total_clusters
0,1000166,AS010,0,13
1,1000167,AS011,0,2
2,1000180,AS012,0,7
3,1000184,AS013,1,11
4,1000185,AS014,0,1
5,1000186,AS015,0,3
6,1000187,AS016,0,1
7,1000188,AS017,0,2
8,1000189,AS018,0,1
9,1000190,AS019,0,2
10,1000191,AS020,0,2
11,1000192,AS021,0,8
12,1000194,AS023,1,1
13,1000195,AS024,0,1
14,1000196,AS025,0,2
15,1000197,AS026A,0,6
16,1000198,AS026B,0,13
17,1000199,AS027,0,4
18,1000200,AS028,0,8
19,1000201,AS029,0,14
20,1000206,AS035C,0,4
21,1000207,AS035D,0,8
22,1000235,AS036,0,9
23,1000236,AS037,0,7
24,1000213,AS039,0,11
25,1000209,AS041,0,10
26,1000210,AS042,0,3
27,1000211,AS043,0,3
28,1000345,AS044,0,28
29,1000212,AS045,0,10
30,1000229,AS048,0,12
31,1000361,AS050,0,17
32,1000179,AS054,0,4
33,1000182,AS055,0,1
34,1000173,AS059,0,2
35,1000171,AS060,0,4
36,1000177,AS061/MA036,0,3
37,1000178,AS062,0,8
38,1000216,AS063,0,3
39,1000223,AS063B,0,3
40,1000217,AS064,0,2
41,1000218,AS065,0,2
42,1000224,AS065B,0,2
43,1000369,AS066,4,61
44,1000096,AS069,5,432
45,1000368,AS071,0,25
46,1000174,AS073,0,5
47,1000366,AS074,1,21
48,1000342,AS075,0,39
49,1000220,AS076,0,2
50,1000221,AS077,0,9
51,1000172,AS078,0,7
52,1000346,AS079,0,17
53,1000222,AS080,0,3
54,1000225,AS081,0,5
55,1000226,AS082,0,3
56,1000168,AS083,0,1
57,1000231,AS085,0,5
58,1000232,AS089,0,10
59,1000233,AS090/N2,0,8
60,1000234,AS092,0,10
61,1000365,AS093,1,10
62,1000227,AS094,0,1
63,1000043,AS101 - Part 1,0,2
64,1000044,AS101 - Part 2,0,2
65,1000054,AS110,0,2
66,1000055,AS111,0,3
67,1000056,AS112,0,11
68,1000071,AS115,0,21
69,1000078,AS122,0,4
70,1000082,AS125,0,5
71,1000085,AS128,1,23
72,1000086,AS129,0,2
73,1000090,AS132,0,2
74,1000091,AS133,0,10
75,1000092,AS134,0,6
76,1000112,AS137,0,2
77,1000114,AS139,0,3
78,1000117,AS142,0,2
79,1000128,AS153,0,3
80,1000130,AS155,0,2
81,1000131,AS156,0,32
82,1000132,AS157,0,5
83,1000133,AS158,0,2
84,1000058,AS159,0,8
85,1000064,AS160,0,4
86,1000138,AS164,1,4
87,1000142,AS168,0,9
88,1000143,AS169,0,9
89,1000144,AS170,0,17
90,1000145,AS171,0,12
91,1000146,AS172,0,12
92,1000059,AS173,0,3
93,1000060,AS174,0,7
94,1000149,AS177,0,6
95,1000150,AS178,1,8
96,1000154,AS182,0,1
97,1000155,AS182B,0,1
98,1000156,AS183,0,2
99,1000157,AS184,0,8
100,1000158,AS185,0,5
101,1000159,AS186,0,7
102,1000160,AS187,0,1
103,1000161,AS188,0,2
104,1000162,AS189,0,5
105,1000066,AS191,0,2
106,1000067,AS192,0,1
107,1000068,AS193,1,1
108,1000061,AS194,0,2
109,1000062,AS195,0,1
110,1000069,AS196,0,1
111,1000070,AS197,0,1
112,1000163,AS198,1,2
113,1000164,AS199,0,24
114,1000165,AS200,0,17
115,1000026,AS201,1,3
116,1000013,AS202,0,14
117,1000014,AS203,0,10
118,1000027,AS204,0,6
119,1000028,AS205,0,2
120,1000015,AS206,0,6
121,1000029,AS207A,1,43
122,1000030,AS207B,0,1
123,1000031,AS207C,0,3
124,1000032,AS209,0,7
125,1000017,AS210,0,5
126,1000033,AS211,0,3
127,1000034,AS212,2,13
128,1000035,AS213,0,1
129,1000036,AS214,0,6
130,1000037,AS215,0,11
131,1000038,AS215F,0,1
132,1000204,AS35A,0,4
133,1000205,AS35B,0,1
134,1000420,HP001,0,6
135,1000421,HP002,0,2
136,1000422,HP003,0,14
137,1000423,HP004,0,10
138,1000424,HP005,0,5
139,1000425,HP006,0,2
140,1000426,HP007,0,6
141,1000427,HP008,0,1
142,1000428,HP009,0,2
143,1000429,HP010,0,3
144,1000430,HP011,0,3
145,1000431,HP012,0,9
146,1000432,HP013,0,2
147,1000433,HP014,0,16
148,1000434,HP015,0,3
149,1000435,HP016,0,1
150,1000436,HP017,0,19
151,1000437,HP018,0,9
152,1000438,HP019,0,4
