,khipu_id,name,cluster_position,split_index,split_ratio,num_cords,split_sum,cluster_sum
0,1000184,AS013,4,4,0.5,8,18,36
1,1000194,AS023,0,2,0.286,7,20,40
2,1000369,AS066,36,2,0.5,4,25,50
3,1000369,AS066,52,2,0.5,4,26,52
4,1000369,AS066,55,4,0.5,8,100,200
5,1000369,AS066,57,4,0.5,8,25,50
6,1000096,AS069,58,4,0.571,7,4,8
7,1000096,AS069,297,4,0.571,7,4,8
8,1000096,AS069,345,4,0.571,7,11,22
9,1000096,AS069,380,4,0.571,7,13,26
10,1000096,AS069,398,5,0.714,7,10,20
11,1000366,AS074,20,2,0.4,5,7,14
12,1000365,AS093,4,3,0.429,7,16,32
13,1000085,AS128,17,5,0.5,10,16,32
14,1000138,AS164,3,3,0.5,6,42,84
15,1000150,AS178,3,2,0.5,4,40,80
16,1000068,AS193,0,4,0.5,8,9,18
17,1000163,AS198,1,4,0.444,9,16,32
18,1000026,AS201,1,2,0.5,4,13,26
19,1000029,AS207A,2,8,0.8,10,20,40
20,1000034,AS212,7,2,0.4,5,10,20
21,1000034,AS212,11,2,0.333,6,7,14
22,1000439,HP020,2,2,0.4,5,3,6
23,1000593,HP039,12,5,0.714,7,101,202
24,1000587,HP057,1,6,0.545,11,4,8
25,1000626,JC002,0,2,0.5,4,4,8
26,1000633,JC009,2,7,0.778,9,60,120
27,1000634,JC010,15,5,0.714,7,40,80
28,1000635,JC011,1,15,0.789,19,23,46
29,1000635,JC011,2,17,0.81,21,48,96
30,1000635,JC011,3,19,0.76,25,43,86
31,1000636,JC012,0,4,0.4,10,3,6
32,1000636,JC012,1,3,0.3,10,7,14
33,1000636,JC012,2,4,0.4,10,8,16
34,1000639,JC015,0,2,0.5,4,7,14
35,1000640,JC016,0,5,0.556,9,4,8
36,1000020,UR003,5,5,0.5,10,6,12
37,1000020,UR003,11,11,0.647,17,4,8
38,1000025,UR006,7,16,0.762,21,24,48
39,1000025,UR006,38,15,0.682,22,13,26
40,1000025,UR006,60,2,0.4,5,4,8
41,1000019,UR009,14,14,0.467,30,32,64
42,1000022,UR021,5,2,0.4,5,3,6
43,1000022,UR021,11,3,0.429,7,4,8
44,1000022,UR021,17,5,0.455,11,19,38
45,1000305,UR029,4,3,0.6,5,4,8
46,1000305,UR029,5,3,0.6,5,3,6
47,1000305,UR029,6,2,0.4,5,4,8
48,1000331,UR037,7,5,0.455,11,10,20
49,1000331,UR037,13,5,0.417,12,12,24
50,1000331,UR037,16,2,0.5,4,6,12
51,1000331,UR037,17,2,0.4,5,4,8
52,1000331,UR037,23,4,0.571,7,4,8
53,1000331,UR037,26,3,0.6,5,6,12
54,1000100,UR042,2,4,0.5,8,46,92
55,1000375,UR051,7,5,0.5,10,50,100
56,1000309,UR057,3,3,0.5,6,8,16
57,1000298,UR058A,1,5,0.625,8,6,12
58,1000298,UR058A,7,7,0.7,10,5,10
59,1000390,UR059,4,3,0.429,7,7,14
60,1000390,UR059,5,3,0.429,7,15,30
61,1000264,UR060,0,3,0.6,5,3,6
