,khipu_id,name,cluster_id,cluster_position,summand_cluster_position,double_sum_top_cord_value,summand_sum_value,is_exact_sum,num_summand_cords
0,1000345,AS044,1012941,1,2,30,40,False,6
1,1000369,AS066,1013514,4,5,192,96,True,4
2,1000369,AS066,1013531,20,19,300,150,True,4
3,1000369,AS066,1013535,23,24,110,55,True,4
4,1000369,AS066,1013538,26,27,50,25,True,4
5,1000369,AS066,1013544,32,33,102,51,True,4
6,1000369,AS066,1013553,41,42,50,25,True,4
7,1000369,AS066,1013556,45,44,200,100,True,4
8,1000369,AS066,1013568,56,55,200,200,False,8
9,1000273,UR087,1006824,5,6,13,16,False,6
10,1000273,UR087,1006828,9,8,20,19,False,6
11,1000273,UR087,1006830,11,10,16,18,False,6
12,1000183,UR1057,1015275,90,91,2,3,True,14
13,1000315,UR1096,1008694,3,2,19,18,False,6
14,1000497,UR186,1016111,4,5,110,65,False,2
15,1000549,UR241,1018281,3,4,18,17,False,8
16,1000549,UR241,1018283,5,6,42,31,False,10
17,1000549,UR241,1018285,7,6,61,31,False,10
18,6000009,AS072,6000220,5,6,30,40,False,4
19,6000011,HP047,6000299,7,6,729,264,False,6
20,6000065,QU016,6002372,9,10,10,21,True,2
