,khipu_id,name,num_sum_clusters,num_sum_cords,num_left_sums,num_right_sums,max_indexed_cluster_cords,min_sum,max_sum,mean_sum,handedness
0,1000166,AS010,2,2,2,0,1,9,21,15,-8.5
1,1000167,AS011,0,0,0,0,0,0,0,0,0.0
2,1000180,AS012,0,0,0,0,0,0,0,0,0.0
3,1000184,AS013,1,1,1,0,1,13,13,13,-36.0
4,1000185,AS014,0,0,0,0,0,0,0,0,0.0
5,1000186,AS015,0,0,0,0,0,0,0,0,0.0
6,1000187,AS016,0,0,0,0,0,0,0,0,0.0
7,1000188,AS017,0,0,0,0,0,0,0,0,0.0
8,1000189,AS018,0,0,0,0,0,0,0,0,0.0
9,1000190,AS019,0,0,0,0,0,0,0,0,0.0
10,1000191,AS020,0,0,0,0,0,0,0,0,0.0
11,1000192,AS021,1,1,0,1,1,11,11,11,14.0
12,1000194,AS023,0,0,0,0,0,0,0,0,0.0
13,1000195,AS024,0,0,0,0,0,0,0,0,0.0
14,1000196,AS025,0,0,0,0,0,0,0,0,0.0
15,1000197,AS026A,0,0,0,0,0,0,0,0,0.0
16,1000198,AS026B,6,17,0,17,8,6,31,15.058823529411764,52.05882352941177
17,1000199,AS027,0,0,0,0,0,0,0,0,0.0
18,1000200,AS028,0,0,0,0,0,0,0,0,0.0
19,1000201,AS029,0,0,0,0,0,0,0,0,0.0
20,1000206,AS035C,0,0,0,0,0,0,0,0,0.0
21,1000207,AS035D,1,2,0,2,2,12,14,13,15.5
22,1000235,AS036,0,0,0,0,0,0,0,0,0.0
23,1000236,AS037,0,0,0,0,0,0,0,0,0.0
24,1000213,AS039,3,3,1,2,1,6,11,7.666666666666667,5.666666666666667
25,1000209,AS041,0,0,0,0,0,0,0,0,0.0
26,1000210,AS042,0,0,0,0,0,0,0,0,0.0
27,1000211,AS043,0,0,0,0,0,0,0,0,0.0
28,1000345,AS044,8,14,5,9,4,6,160,25.785714285714285,-2.5714285714285716
29,1000212,AS045,1,1,1,0,1,44,44,44,-16.0
30,1000229,AS048,5,6,0,6,2,6,15,10.5,18.166666666666668
31,1000361,AS050,3,5,1,4,3,12,627,182.4,101.4
32,1000179,AS054,0,0,0,0,0,0,0,0,0.0
33,1000182,AS055,0,0,0,0,0,0,0,0,0.0
34,1000173,AS059,0,0,0,0,0,0,0,0,0.0
35,1000171,AS060,0,0,0,0,0,0,0,0,0.0
36,1000177,AS061/MA036,0,0,0,0,0,0,0,0,0.0
37,1000178,AS062,0,0,0,0,0,0,0,0,0.0
38,1000216,AS063,0,0,0,0,0,0,0,0,0.0
39,1000223,AS063B,0,0,0,0,0,0,0,0,0.0
40,1000217,AS064,0,0,0,0,0,0,0,0,0.0
41,1000218,AS065,0,0,0,0,0,0,0,0,0.0
42,1000224,AS065B,0,0,0,0,0,0,0,0,0.0
43,1000369,AS066,24,57,31,26,9,11,192,32.98245614035088,-9.824561403508772
44,1000096,AS069,69,140,57,83,6,6,585,62.81428571428572,139.25714285714287
45,1000368,AS071,1,1,0,1,1,11,11,11,38.0
46,1000174,AS073,0,0,0,0,0,0,0,0,0.0
47,1000366,AS074,2,3,0,3,2,6,7,6.333333333333333,9.0
48,1000342,AS075,7,10,5,5,2,6,27,11.8,-11.6
49,1000220,AS076,0,0,0,0,0,0,0,0,0.0
50,1000221,AS077,2,2,1,1,1,7,13,10,-7.0
51,1000172,AS078,2,3,1,2,2,6,7,6.333333333333333,3.3333333333333335
