,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,num_summands,summand_cluster_positions,sum_string,handedness
0,1000166,AS010,3016352,p16,"LB@[6, 0]:9",0,9,3,"1, 2, 3","W:RG@[1, 0]:2 + W:LB@[2, 0]:4 + LB@[3, 0]:3",-9
1,1000166,AS010,3016354,p18,"W:LB@[7, 0]:21",0,21,5,"1, 2, 3, 4, 6","W:RG@[1, 0]:2 + W:LB@[2, 0]:4 + LB@[3, 0]:3 + LB@[4, 0]:3 + LB@[6, 0]:9",-8
2,1000166,AS010,3016352,p16,"LB@[6, 0]:9",0,9,3,"1, 2, 3","W:RG@[1, 0]:2 + W:LB@[2, 0]:4 + LB@[3, 0]:3",-9
3,1000166,AS010,3016354,p18,"W:LB@[7, 0]:21",0,21,5,"1, 2, 3, 4, 6","W:RG@[1, 0]:2 + W:LB@[2, 0]:4 + LB@[3, 0]:3 + LB@[4, 0]:3 + LB@[6, 0]:9",-8
4,1000184,AS013,3017055,p55,"W@[7, 3]:13",3,13,4,"0, 1, 3, 4","MB@[0, 3]:2 + W@[1, 3]:5 + W@[3, 3]:3 + W:MB@[4, 3]:3",-36
5,1000184,AS013,3017055,p55,"W@[7, 3]:13",3,13,4,"0, 1, 3, 4","MB@[0, 3]:2 + W@[1, 3]:5 + W@[3, 3]:3 + W:MB@[4, 3]:3",-36
6,1000192,AS021,3017292,p23,"W@[2, 4]:11",4,11,2,"4, 5","YB@[4, 4]:3 + W@[5, 4]:8",14
7,1000192,AS021,3017292,p23,"W@[2, 4]:11",4,11,2,"4, 5","YB@[4, 4]:3 + W@[5, 4]:8",14
8,1000198,AS026B,3017438,p1,"W@[0, 0]:24",0,24,4,"7, 8, 9, 10","B@[7, 0]:8 + W@[8, 0]:4 + B@[9, 0]:8 + W@[10, 0]:4",61
9,1000198,AS026B,3017439,p2,"W@[0, 1]:24",1,24,4,"7, 8, 9, 10","B@[7, 1]:8 + W@[8, 1]:4 + B@[9, 1]:8 + W@[10, 1]:4",61
10,1000198,AS026B,3017440,p3,"W@[0, 2]:12",2,12,3,"5, 7, 8","B@[5, 2]:6 + B@[7, 2]:4 + W@[8, 2]:2",47
11,1000198,AS026B,3017442,p5,"W@[0, 4]:24",4,24,4,"5, 7, 8, 9","B@[5, 4]:4 + B@[7, 4]:8 + W@[8, 4]:4 + B@[9, 4]:8",52
12,1000198,AS026B,3017443,p6,"W@[0, 5]:24",5,24,4,"7, 8, 9, 10","B@[7, 5]:8 + W@[8, 5]:4 + B@[9, 5]:8 + W@[10, 5]:4",61
13,1000198,AS026B,3017444,p7,"W@[0, 6]:24",6,24,5,"7, 8, 9, 10, 11","B@[7, 6]:6 + W@[8, 6]:4 + B@[9, 6]:8 + W@[10, 6]:4 + B@[11, 6]:2",66
14,1000198,AS026B,3017446,p9,"W@[0, 8]:12",8,12,4,"2, 4, 7, 8","W@[2, 8]:4 + B@[4, 8]:4 + B@[7, 8]:2 + W@[8, 8]:2",36
15,1000198,AS026B,3017447,p10,"W@[0, 9]:12",9,12,3,"2, 4, 9","W@[2, 9]:4 + B@[4, 9]:4 + B@[9, 9]:4",35
16,1000198,AS026B,3017448,p11,"W@[1, 0]:31",0,31,6,"7, 8, 9, 10, 11, 12","B@[7, 0]:8 + W@[8, 0]:4 + B@[9, 0]:8 + W@[10, 0]:4 + B@[11, 0]:2 + W@[12, 0]:5",60
17,1000198,AS026B,3017452,p15,"W@[2, 3]:9",3,9,3,"10, 11, 12","W@[10, 3]:4 + B@[11, 3]:2 + W@[12, 3]:3",74
18,1000198,AS026B,3017453,p16,"W@[2, 4]:9",4,9,3,"10, 11, 12","W@[10, 4]:4 + B@[11, 4]:2 + W@[12, 4]:3",74
19,1000198,AS026B,3017455,p18,"W@[2, 6]:9",6,9,3,"10, 11, 12","W@[10, 6]:4 + B@[11, 6]:2 + W@[12, 6]:3",74
20,1000198,AS026B,3017456,p19,"W@[2, 7]:9",7,9,3,"10, 11, 12","W@[10, 7]:4 + B@[11, 7]:2 + W@[12, 7]:3",74
21,1000198,AS026B,3017461,p24,"B@[3, 2]:12",2,12,3,"5, 7, 8","B@[5, 2]:6 + B@[7, 2]:4 + W@[8, 2]:2",26
22,1000198,AS026B,3017479,p42,"B@[5, 2]:6",2,6,2,"7, 8","B@[7, 2]:4 + W@[8, 2]:2",13
23,1000198,AS026B,3017488,p51,"B@[7, 3]:9",3,9,3,"10, 11, 12","W@[10, 3]:4 + B@[11, 3]:2 + W@[12, 3]:3",38
24,1000198,AS026B,3017491,p54,"B@[7, 6]:6",6,6,2,"10, 11","W@[10, 6]:4 + B@[11, 6]:2",33
25,1000198,AS026B,3017438,p1,"W@[0, 0]:24",0,24,4,"7, 8, 9, 10","B@[7, 0]:8 + W@[8, 0]:4 + B@[9, 0]:8 + W@[10, 0]:4",61
26,1000198,AS026B,3017439,p2,"W@[0, 1]:24",1,24,4,"7, 8, 9, 10","B@[7, 1]:8 + W@[8, 1]:4 + B@[9, 1]:8 + W@[10, 1]:4",61
27,1000198,AS026B,3017440,p3,"W@[0, 2]:12",2,12,3,"5, 7, 8","B@[5, 2]:6 + B@[7, 2]:4 + W@[8, 2]:2",47
28,1000198,AS026B,3017442,p5,"W@[0, 4]:24",4,24,4,"5, 7, 8, 9","B@[5, 4]:4 + B@[7, 4]:8 + W@[8, 4]:4 + B@[9, 4]:8",52
29,1000198,AS026B,3017443,p6,"W@[0, 5]:24",5,24,4,"7, 8, 9, 10","B@[7, 5]:8 + W@[8, 5]:4 + B@[9, 5]:8 + W@[10, 5]:4",61
30,1000198,AS026B,3017444,p7,"W@[0, 6]:24",6,24,5,"7, 8, 9, 10, 11","B@[7, 6]:6 + W@[8, 6]:4 + B@[9, 6]:8 + W@[10, 6]:4 + B@[11, 6]:2",66
31,1000198,AS026B,3017446,p9,"W@[0, 8]:12",8,12,4,"2, 4, 7, 8","W@[2, 8]:4 + B@[4, 8]:4 + B@[7, 8]:2 + W@[8, 8]:2",36
32,1000198,AS026B,3017447,p10,"W@[0, 9]:12",9,12,3,"2, 4, 9","W@[2, 9]:4 + B@[4, 9]:4 + B@[9, 9]:4",35
33,1000198,AS026B,3017448,p11,"W@[1, 0]:31",0,31,6,"7, 8, 9, 10, 11, 12","B@[7, 0]:8 + W@[8, 0]:4 + B@[9, 0]:8 + W@[10, 0]:4 + B@[11, 0]:2 + W@[12, 0]:5",60
34,1000198,AS026B,3017452,p15,"W@[2, 3]:9",3,9,3,"10, 11, 12","W@[10, 3]:4 + B@[11, 3]:2 + W@[12, 3]:3",74
35,1000198,AS026B,3017453,p16,"W@[2, 4]:9",4,9,3,"10, 11, 12","W@[10, 4]:4 + B@[11, 4]:2 + W@[12, 4]:3",74
36,1000198,AS026B,3017455,p18,"W@[2, 6]:9",6,9,3,"10, 11, 12","W@[10, 6]:4 + B@[11, 6]:2 + W@[12, 6]:3",74
37,1000198,AS026B,3017456,p19,"W@[2, 7]:9",7,9,3,"10, 11, 12","W@[10, 7]:4 + B@[11, 7]:2 + W@[12, 7]:3",74
38,1000198,AS026B,3017461,p24,"B@[3, 2]:12",2,12,3,"5, 7, 8","B@[5, 2]:6 + B@[7, 2]:4 + W@[8, 2]:2",26
39,1000198,AS026B,3017479,p42,"B@[5, 2]:6",2,6,2,"7, 8","B@[7, 2]:4 + W@[8, 2]:2",13
40,1000198,AS026B,3017488,p51,"B@[7, 3]:9",3,9,3,"10, 11, 12","W@[10, 3]:4 + B@[11, 3]:2 + W@[12, 3]:3",38
41,1000198,AS026B,3017491,p54,"B@[7, 6]:6",6,6,2,"10, 11","W@[10, 6]:4 + B@[11, 6]:2",33
