,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,num_summands,sum_string,handedness
0,1000345,AS044,3031465,p88s2,"LB@[24, 2, 1]:6",2,6,2,"LB@[2, 2, 1]:3+LB@[6, 2, 0]:3",-71
1,1000345,AS044,3031418,p3s3,"LB@[0, 2, 2]:37",2,37,6,"LB@[2, 2, 1]:3+LB@[6, 2, 0]:3+LB@[8, 2, 0]:3+LB@[10, 2, 1]:24+LB@[14, 2, 0]:2+LB@[16, 2, 1]:2",33
2,1000345,AS044,3031421,p4s3,"LB@[0, 3, 2]:19",3,19,4,"LB@[4, 3, 0]:2+LB@[10, 3, 1]:15+LB@[16, 3, 0]:1+LB@[22, 3, 1]:1",46
3,1000345,AS044,3031431,p37s4,"LB@[10, 1, 3]:6",1,6,2,"LB@[12, 1, 0]:5+LB@[14, 1, 1]:1",11
4,1000361,AS050,3032492,p254s1,"BD@[13, 13, 0]:10",13,10,2,"BD@[5, 13, 0]:10+BD@[6, 13, 0]:0",-136
5,1000178,AS062,3016650,p16s1,"W@[7, 1, 0]:5",1,5,2,"W@[4, 1, 0]:4+W@[5, 1, 0]:1",-5
6,1000096,AS069,3012267,p730s2,"BS@[369, 1, 1]:6",1,6,2,"BS@[264, 1, 1]:2+BS@[308, 1, 1]:4",-557
7,1000096,AS069,3012320,p1108s1,"W:FB@[6, 1, 0]:6",1,6,2,"W:FB@[365, 1, 0]:6+W:FB@[369, 1, 0]:0",-370
8,1000096,AS069,3012306,p943s3,"KB@[80, 4, 2]:19",4,19,4,"KB@[283, 4, 0]:3+KB@[304, 4, 0]:3+KB@[365, 4, 0]:1+KB@[412, 4, 1]:12",-566
9,1000096,AS069,3012341,p1362s1,"W@[208, 4, 0]:13",4,13,3,"W@[192, 4, 0]:7+W@[200, 4, 0]:5+W@[204, 4, 0]:1",34
10,1000096,AS069,3012211,p237s2,"W:FB@[231, 4, 1]:5",4,5,2,"W:FB@[54, 4, 0]:4+W:FB@[79, 4, 0]:1",694
11,1000096,AS069,3012122,p141s1,"W:FB@[308, 1, 0]:14",1,14,4,"W:FB@[6, 1, 0]:6+W:FB@[80, 1, 5]:0+W:FB@[231, 1, 0]:4+W:FB@[243, 1, 0]:4",526
