,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,min_sum,max_sum,mean_sum,handedness
0,1000166,AS010,5,2,3,12,38,22,-0.4
1,1000167,AS011,0,0,0,0,0,0,0
2,1000180,AS012,7,4,3,11,30,18,-1.1428571428571428
3,1000184,AS013,5,5,0,13,120,48,-19
4,1000185,AS014,3,2,1,92,106,99,-4.666666666666667
5,1000186,AS015,0,0,0,0,0,0,0
6,1000187,AS016,1,0,1,12,12,12,4
7,1000188,AS017,0,0,0,0,0,0,0
8,1000189,AS018,0,0,0,0,0,0,0
9,1000190,AS019,1,1,0,820,820,820,-2
10,1000191,AS020,1,0,1,37,37,37,7
11,1000192,AS021,19,11,8,11,32,19,-0.15789473684210525
12,1000194,AS023,0,0,0,0,0,0,0
13,1000195,AS024,0,0,0,0,0,0,0
14,1000196,AS025,0,0,0,0,0,0,0
15,1000197,AS026A,5,2,3,12,42,21,-0.8
16,1000198,AS026B,9,3,6,12,112,79,7
17,1000199,AS027,0,0,0,0,0,0,0
18,1000200,AS028,9,6,3,30,200,66,-2.3333333333333335
19,1000201,AS029,18,8,10,16,1739,212,2.0555555555555554
20,1000206,AS035C,0,0,0,0,0,0,0
21,1000207,AS035D,7,1,6,11,34,18,9
22,1000235,AS036,25,10,15,12,150,41,3.88
23,1000236,AS037,17,5,12,17,336,73,10.117647058823529
24,1000213,AS039,2,1,1,11,28,19,-1
25,1000209,AS041,3,2,1,80,300,170,-2
26,1000210,AS042,0,0,0,0,0,0,0
27,1000211,AS043,0,0,0,0,0,0,0
28,1000345,AS044,48,23,25,11,160,37,1.375
29,1000212,AS045,16,10,6,13,110,33,-4.25
30,1000229,AS048,11,5,6,11,17,14,0.2727272727272727
31,1000361,AS050,63,25,38,11,3654,367,40.888888888888886
32,1000179,AS054,4,1,3,40,451,150,3.25
33,1000182,AS055,0,0,0,0,0,0,0
34,1000173,AS059,0,0,0,0,0,0,0
35,1000171,AS060,0,0,0,0,0,0,0
36,1000177,AS061/MA036,0,0,0,0,0,0,0
37,1000178,AS062,0,0,0,0,0,0,0
38,1000216,AS063,0,0,0,0,0,0,0
39,1000223,AS063B,5,3,2,15,72,56,-1.4
40,1000217,AS064,0,0,0,0,0,0,0
41,1000218,AS065,0,0,0,0,0,0,0
42,1000224,AS065B,0,0,0,0,0,0,0
43,1000369,AS066,59,24,35,12,300,60,7.016949152542373
44,1000096,AS069,200,93,107,11,585,80,47.745
45,1000368,AS071,1,0,1,11,11,11,17
46,1000174,AS073,0,0,0,0,0,0,0
47,1000366,AS074,1,0,1,52,52,52,67
48,1000342,AS075,8,3,5,12,111,38,6.875
49,1000220,AS076,0,0,0,0,0,0,0
50,1000221,AS077,2,1,1,13,13,13,0
51,1000172,AS078,0,0,0,0,0,0,0
52,1000346,AS079,0,0,0,0,0,0,0
53,1000222,AS080,3,1,2,16,51,36,0.3333333333333333
54,1000225,AS081,0,0,0,0,0,0,0
55,1000226,AS082,0,0,0,0,0,0,0
56,1000168,AS083,0,0,0,0,0,0,0
57,1000231,AS085,0,0,0,0,0,0,0
58,1000232,AS089,0,0,0,0,0,0,0
59,1000233,AS090/N2,3,0,3,50,230,130,24.333333333333332
60,1000234,AS092,20,9,11,12,189,34,2
61,1000365,AS093,6,3,3,11,15,12,0.5
62,1000227,AS094,0,0,0,0,0,0,0
63,1000043,AS101 - Part 1,0,0,0,0,0,0,0
64,1000044,AS101 - Part 2,3,2,1,60,120,90,0
65,1000054,AS110,6,1,5,13,25,17,3.1666666666666665
66,1000055,AS111,0,0,0,0,0,0,0
67,1000056,AS112,0,0,0,0,0,0,0
68,1000071,AS115,0,0,0,0,0,0,0
69,1000078,AS122,0,0,0,0,0,0,0
70,1000082,AS125,0,0,0,0,0,0,0
71,1000085,AS128,45,24,21,11,743,120,-22.244444444444444
72,1000086,AS129,0,0,0,0,0,0,0
73,1000090,AS132,1,0,1,25,25,25,3
74,1000091,AS133,13,3,10,11,305,123,7.615384615384615
75,1000092,AS134,0,0,0,0,0,0,0
76,1000112,AS137,0,0,0,0,0,0,0
