,name,num_sum_cords,num_summand_cords,num_summation_cords,num_nonzero_pendants,ratio_sums_to_pendants
0,AS010,5,10,12,22,55
1,AS012,5,28,31,30,103
2,AS013,5,39,43,41,105
3,AS014,3,6,9,42,21
4,AS016,1,6,7,7,100
5,AS019,1,2,3,4,75
6,AS020,1,2,3,10,30
7,AS021,13,31,41,51,80
8,AS026A,4,37,40,32,125
9,AS026B,6,44,47,92,51
10,AS028,7,27,28,28,100
11,AS029,17,43,51,70,73
12,AS035D,7,19,26,27,96
13,AS036,18,47,58,58,100
14,AS037,13,51,58,40,145
15,AS039,2,17,19,30,63
16,AS041,3,13,15,30,50
17,AS044,33,77,91,90,101
18,AS045,13,24,32,35,91
19,AS048,6,26,30,46,65
20,AS050,52,232,248,118,210
21,AS054,4,10,11,19,58
22,AS063B,5,12,16,24,67
23,AS066,50,135,151,161,94
24,AS069,130,1485,1516,276,549
25,AS071,1,6,7,19,37
26,AS074,1,12,13,34,38
27,AS075,5,117,120,95,126
28,AS077,1,6,7,30,23
29,AS080,3,9,11,15,73
30,AS090/N2,3,8,11,56,20
31,AS092,18,34,44,50,88
32,AS093,3,13,16,57,28
33,AS101 - Part 2,3,5,7,16,44
34,AS110,5,11,15,19,79
35,AS128,28,211,218,130,168
36,AS132,1,4,5,6,83
37,AS133,13,22,29,35,83
38,AS153,3,10,11,20,55
39,AS156,10,19,26,61,43
40,AS159,15,27,34,35,97
41,AS160,4,9,12,19,63
42,AS164,7,14,19,22,86
43,AS168,2,4,6,17,35
44,AS170,6,13,19,59,32
45,AS171,4,8,12,23,52
46,AS172,8,9,16,31,52
47,AS173,2,5,7,13,54
48,AS174,2,5,6,13,46
49,AS178,5,17,18,27,67
50,AS183,1,2,3,4,75
51,AS185,7,17,21,23,91
52,AS186,2,7,9,24,38
53,AS189,5,15,18,20,90
54,AS192,2,8,10,10,100
55,AS199,29,60,74,79,94
56,AS200,1,12,13,37,35
57,AS201,2,4,6,10,60
58,AS206,9,10,18,22,82
59,AS207A,19,122,132,135,98
60,AS207B,1,2,3,13,23
61,AS209,3,17,19,55,35
62,AS210,8,21,26,26,100
63,AS211,5,27,29,40,72
64,AS212,18,51,62,67,93
65,AS213,1,2,3,17,18
