,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,min_sum,max_sum,mean_sum,handedness
0,1000166,AS010,0,0,0,0,0,0,0
1,1000167,AS011,0,0,0,0,0,0,0
2,1000180,AS012,3,1,2,11,30,18,3.6666666666666665
3,1000184,AS013,4,4,0,13,61,25,-35.5
4,1000185,AS014,0,0,0,0,0,0,0
5,1000186,AS015,0,0,0,0,0,0,0
6,1000187,AS016,0,0,0,0,0,0,0
7,1000188,AS017,0,0,0,0,0,0,0
8,1000189,AS018,0,0,0,0,0,0,0
9,1000190,AS019,0,0,0,0,0,0,0
10,1000191,AS020,0,0,0,0,0,0,0
11,1000192,AS021,2,1,1,30,32,31,-2
12,1000194,AS023,0,0,0,0,0,0,0
13,1000195,AS024,0,0,0,0,0,0,0
14,1000196,AS025,0,0,0,0,0,0,0
15,1000197,AS026A,2,1,1,12,29,20,-7.5
16,1000198,AS026B,15,0,15,12,112,38,44.6
17,1000199,AS027,0,0,0,0,0,0,0
18,1000200,AS028,3,3,0,40,60,46,-8.333333333333334
19,1000201,AS029,1,0,1,600,600,600,7
20,1000206,AS035C,0,0,0,0,0,0,0
21,1000207,AS035D,0,0,0,0,0,0,0
22,1000235,AS036,3,1,2,34,88,67,15.666666666666666
23,1000236,AS037,3,1,2,50,60,53,13.333333333333334
24,1000213,AS039,1,1,0,11,11,11,-24
25,1000209,AS041,1,0,1,18,18,18,10
26,1000210,AS042,0,0,0,0,0,0,0
27,1000211,AS043,0,0,0,0,0,0,0
28,1000345,AS044,17,8,9,16,100,44,8.352941176470589
29,1000212,AS045,1,1,0,20,20,20,-6
30,1000229,AS048,9,3,6,11,17,14,2.111111111111111
31,1000361,AS050,9,1,8,27,627,137,131.77777777777777
32,1000179,AS054,1,0,1,451,451,451,10
33,1000182,AS055,0,0,0,0,0,0,0
34,1000173,AS059,0,0,0,0,0,0,0
35,1000171,AS060,0,0,0,0,0,0,0
36,1000177,AS061/MA036,0,0,0,0,0,0,0
37,1000178,AS062,0,0,0,0,0,0,0
38,1000216,AS063,0,0,0,0,0,0,0
39,1000223,AS063B,5,3,2,15,72,56,-1.4
40,1000217,AS064,0,0,0,0,0,0,0
41,1000218,AS065,0,0,0,0,0,0,0
