,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,cord_color,num_summands,sum_string,handedness
0,1000180,AS012,3016706,p30,"[2, 8]",8,30,W,5,"[1, 11]:11 +[2, 0]:2 +[2, 1]:1 +[2, 2]:15 +[2, 3]:1 ",-7
1,1000180,AS012,3016697,p21,"[1, 11]",11,11,W,5,"[2, 12]:2 +[2, 13]:1 +[2, 14]:6 +[2, 16]:1 +[2, 17]:1 ",15
2,1000180,AS012,3016700,p24,"[2, 2]",2,15,W,4,"[2, 4]:3 +[2, 5]:5 +[2, 6]:1 +[2, 7]:6 ",3
3,1000184,AS013,3017029,p29,"[3, 6]",6,16,W,3,"[1, 3]:5 +[1, 4]:6 +[1, 5]:5 ",-18
4,1000184,AS013,3017052,p52,"[7, 0]",0,13,W,3,"[1, 2]:2 +[1, 3]:5 +[1, 4]:6 ",-42
5,1000184,AS013,3017055,p55,"[7, 3]",3,13,W,3,"[1, 2]:2 +[1, 3]:5 +[1, 4]:6 ",-45
6,1000184,AS013,3017056,p56,"[7, 4]",4,61,W,13,"[1, 2]:2 +[1, 3]:5 +[1, 4]:6 +[1, 5]:5 +[1, 6]:6 +[1, 7]:4 +[3, 0]:4 +[3, 1]:2 +[3, 2]:4 +[3, 3]:3 +[3, 4]:3 +[3, 5]:1 +[3, 6]:16 ",-37
7,1000192,AS021,3017315,p46,"[6, 0]",0,30,W,3,"[5, 1]:11 +[5, 4]:8 +[5, 5]:11 ",-6
8,1000192,AS021,3017279,p10,"[1, 0]",0,32,W,3,"[1, 1]:11 +[1, 2]:13 +[1, 4]:8 ",2
9,1000197,AS026A,3017410,p50,"[5, 0]",0,12,W,5,"[2, 4]:2 +[2, 8]:1 +[2, 9]:1 +[2, 10]:4 +[2, 12]:4 ",-26
10,1000197,AS026A,3017362,p2,"[0, 1]",1,29,W,7,"[1, 4]:2 +[1, 5]:6 +[1, 7]:5 +[1, 11]:2 +[2, 0]:10 +[2, 3]:2 +[2, 4]:2 ",11
11,1000198,AS026B,3017438,p1,"[0, 0]",0,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",60
12,1000198,AS026B,3017439,p2,"[0, 1]",1,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",59
13,1000198,AS026B,3017440,p3,"[0, 2]",2,12,W,3,"[8, 3]:4 +[8, 4]:4 +[8, 5]:4 ",58
14,1000198,AS026B,3017441,p4,"[0, 3]",3,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",57
15,1000198,AS026B,3017442,p5,"[0, 4]",4,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",56
16,1000198,AS026B,3017443,p6,"[0, 5]",5,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",55
17,1000198,AS026B,3017444,p7,"[0, 6]",6,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",54
18,1000198,AS026B,3017445,p8,"[0, 7]",7,24,W,7,"[8, 1]:4 +[8, 2]:2 +[8, 3]:4 +[8, 4]:4 +[8, 5]:4 +[8, 6]:4 +[8, 7]:2 ",53
19,1000198,AS026B,3017446,p9,"[0, 8]",8,12,W,3,"[8, 3]:4 +[8, 4]:4 +[8, 5]:4 ",52
20,1000198,AS026B,3017447,p10,"[0, 9]",9,12,W,3,"[8, 3]:4 +[8, 4]:4 +[8, 5]:4 ",51
21,1000198,AS026B,3017448,p11,"[1, 0]",0,31,W,4,"[2, 0]:9 +[2, 1]:9 +[2, 2]:4 +[2, 3]:9 ",2
22,1000198,AS026B,3017459,p22,"[3, 0]",0,112,B,19,"[4, 9]:4 +[5, 0]:5 +[5, 1]:2 +[5, 2]:6 +[5, 4]:4 +[7, 0]:8 +[7, 1]:8 +[7, 2]:4 +[7, 3]:9 +[7, 4]:8 +[7, 5]:8 +[7, 6]:6 +[7, 7]:2 +[7, 8]:2 +[9, 0]:8 +[9, 1]:8 +[9, 2]:4 +[9, 3]:8 +[9, 4]:8 ",31
23,1000198,AS026B,3017460,p23,"[3, 1]",1,110,B,20,"[7, 3]:9 +[7, 4]:8 +[7, 5]:8 +[7, 6]:6 +[7, 7]:2 +[7, 8]:2 +[9, 0]:8 +[9, 1]:8 +[9, 2]:4 +[9, 3]:8 +[9, 4]:8 +[9, 5]:8 +[9, 6]:8 +[9, 7]:8 +[9, 8]:4 +[9, 9]:4 +[11, 0]:2 +[11, 1]:2 +[11, 2]:1 +[11, 3]:2 ",46
24,1000198,AS026B,3017461,p24,"[3, 2]",2,12,B,3,"[5, 1]:2 +[5, 2]:6 +[5, 4]:4 ",18
25,1000198,AS026B,3017463,p26,"[3, 4]",4,104,B,17,"[4, 0]:8 +[4, 1]:8 +[4, 2]:4 +[4, 3]:8 +[4, 8]:4 +[4, 9]:4 +[5, 0]:5 +[5, 1]:2 +[5, 2]:6 +[5, 4]:4 +[7, 0]:8 +[7, 1]:8 +[7, 2]:4 +[7, 3]:9 +[7, 4]:8 +[7, 5]:8 +[7, 6]:6 ",17
26,1000200,AS028,3017740,p15,"[2, 5]",5,40,W,4,"[0, 2]:2 +[1, 1]:3 +[1, 4]:1 +[2, 0]:34 ",-8
27,1000200,AS028,3017741,p16,"[2, 6]",6,40,W,4,"[0, 2]:2 +[1, 1]:3 +[1, 4]:1 +[2, 0]:34 ",-9
28,1000200,AS028,3017743,p18,"[2, 8]",8,60,W,5,"[1, 1]:3 +[1, 4]:1 +[2, 0]:34 +[2, 1]:12 +[2, 4]:10 ",-8
