,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
0,1000166,AS010,1,0,1,3,18,18,18,10
1,1000167,AS011,0,0,0,0,0,0,0,0
2,1000180,AS012,0,0,0,0,0,0,0,0
3,1000184,AS013,0,0,0,0,0,0,0,0
4,1000185,AS014,1,1,0,3,115,115,115,-16
5,1000186,AS015,0,0,0,0,0,0,0,0
6,1000187,AS016,0,0,0,0,0,0,0,0
7,1000188,AS017,0,0,0,0,0,0,0,0
8,1000189,AS018,0,0,0,0,0,0,0,0
9,1000190,AS019,0,0,0,0,0,0,0,0
10,1000191,AS020,0,0,0,0,0,0,0,0
11,1000192,AS021,0,0,0,0,0,0,0,0
12,1000194,AS023,0,0,0,0,0,0,0,0
13,1000195,AS024,0,0,0,0,0,0,0,0
14,1000196,AS025,0,0,0,0,0,0,0,0
15,1000197,AS026A,0,0,0,0,0,0,0,0
16,1000198,AS026B,0,0,0,0,0,0,0,0
17,1000199,AS027,1,0,1,7,21,21,21,4
18,1000200,AS028,1,1,0,4,100,100,100,-25
19,1000201,AS029,7,3,4,5,31,1000,300,14
20,1000206,AS035C,0,0,0,0,0,0,0,0
21,1000207,AS035D,0,0,0,0,0,0,0,0
22,1000235,AS036,1,0,1,36,624,624,624,35
23,1000236,AS037,0,0,0,0,0,0,0,0
24,1000213,AS039,0,0,0,0,0,0,0,0
25,1000209,AS041,0,0,0,0,0,0,0,0
26,1000210,AS042,0,0,0,0,0,0,0,0
27,1000211,AS043,2,1,1,6,17,17,17,3.5
28,1000345,AS044,9,2,7,4,12,37,21,21.22222222222222
29,1000212,AS045,3,2,1,4,18,28,23,-3.6666666666666665
30,1000229,AS048,0,0,0,0,0,0,0,0
31,1000361,AS050,4,0,4,21,39,1766,569,177.75
32,1000179,AS054,2,0,2,4,275,300,287,7.5
33,1000182,AS055,0,0,0,0,0,0,0,0
34,1000173,AS059,0,0,0,0,0,0,0,0
35,1000171,AS060,0,0,0,0,0,0,0,0
36,1000177,AS061/MA036,0,0,0,0,0,0,0,0
37,1000178,AS062,0,0,0,0,0,0,0,0
