,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,parent_cord_position,cord_value,cord_color,num_summands,sum_string,handedness
0,1000166,AS010,3016364,p1s1,"W@[0, 0, 0]:18","(0, 0)","W:LB@[0, 0]:33",18,W,3,"LB@[2, 2]:12 + LB@[3, 0]:3 + LB@[3, 1]:3",10
1,1000185,AS014,3017177,p26s1,"W@[0, 25, 0]:115","(25, 0)","RM@[0, 25]:37",115,W,3,"W@[0, 8]:28 + BG@[0, 9]:72 + BG@[0, 10]:15",-16
2,1000199,AS027,3017720,p11s1,"LB@[3, 1, 0]:21","(1, 0)","W@[3, 1]:3",21,LB,7,"W@[3, 2]:2 + W@[3, 3]:4 + W@[3, 4]:4 + W@[3, 5]:2 + W@[3, 6]:4 + W@[3, 7]:4 + W@[3, 8]:1",4
3,1000200,AS028,3017780,p40s1,"W:GG@[6, 4, 0]:100","(4, 0)","W@[6, 4]:9",100,W:GG,4,"W:GG@[2, 3]:10 + W@[2, 4]:10 + W@[2, 5]:40 + W@[2, 6]:40",-25
4,1000201,AS029,3017884,p12s1,"BL-DB@[1, 1, 0]:243","(1, 0)","YB:BL@[1, 1]:1181",243,BL-DB,5,"W-DB@[0, 3]:15 + BL@[0, 4]:19 + W:LB@[0, 5]:202 + DB@[0, 6]:4 + W-LB@[0, 7]:3",-6
5,1000201,AS029,3017897,p17s3,"BL-DB@[1, 6, 2]:243","(6, 2)","YB:BL@[1, 6]:1032",243,BL-DB,5,"W-DB@[0, 3]:15 + BL@[0, 4]:19 + W:LB@[0, 5]:202 + DB@[0, 6]:4 + W-LB@[0, 7]:3",-11
6,1000201,AS029,3017904,p23s2,"W@[1, 12, 3]:260","(12, 3)","LB@[1, 12]:200",260,W,4,"W:LB@[0, 5]:202 + DB@[0, 6]:4 + W-LB@[0, 7]:3 + DB@[0, 8]:51",-16
7,1000201,AS029,3017887,p12s4,"YB:BL@[1, 1, 3]:31","(1, 3)","YB:BL@[1, 1]:1181",31,YB:BL,3,"W@[7, 0]:4 + YB@[7, 1]:16 + YB@[7, 2]:11",46
8,1000201,AS029,3017902,p22s1,"YB:BL@[1, 11, 0]:31","(11, 0)","YB:BL@[1, 11]:149",31,YB:BL,3,"W@[7, 0]:4 + YB@[7, 1]:16 + YB@[7, 2]:11",36
9,1000201,AS029,3018057,p50s1,"W-DB-DB@[5, 1, 0]:296","(1, 0)","W:DB@[5, 1]:19",296,W-DB-DB,5,"W:DB@[12, 0]:2 + W@[12, 1]:42 + BL-LB@[12, 2]:52 + BL-LB@[12, 3]:100 + BL-LB@[12, 4]:100",32
10,1000201,AS029,3017912,p54s1,"DB@[6, 1, 0]:1000","(1, 0)","YB@[6, 1]:158",1000,DB,3,"W:DB@[9, 6]:85 + W@[9, 7]:110 + W:LB@[10, 0]:805",17
