,khipu_id,name,cluster_id,cluster_position,summand_cluster_position,num_summand_cords,top_cord_value,summand_value,is_exact_sum
0,1000345,AS044,1012941,1,2,6,30,40,False
1,1000345,AS044,1012943,3,2,6,40,40,True
2,1000345,AS044,1012947,7,8,6,34,33,False
3,1000345,AS044,1012949,9,8,6,33,33,True
4,1000345,AS044,1012957,17,18,6,48,49,False
5,1000345,AS044,1012959,19,18,6,49,49,True
6,1000345,AS044,1012961,21,20,6,40,40,True
7,1000345,AS044,1012963,23,22,6,32,32,True
8,1000345,AS044,1012965,25,24,6,76,76,True
9,1000369,AS066,1013556,45,44,4,200,100,True
10,1000369,AS066,1013559,47,46,8,32,32,True
11,1000369,AS066,1013561,49,48,8,237,237,True
12,1000369,AS066,1013566,54,53,8,40,40,True
13,1000369,AS066,1013568,56,55,8,200,200,False
14,1000369,AS066,1013570,58,57,8,50,50,True
15,1000369,AS066,1013572,60,59,8,32,32,True
16,1000164,AS199,1005220,3,2,6,50,50,True
17,1000164,AS199,1005226,9,8,6,513,513,True
18,1000164,AS199,1005232,15,14,6,489,489,True
19,1000164,AS199,1005234,17,16,6,587,587,True
20,1000164,AS199,1005236,19,18,6,492,493,False
21,1000164,AS199,1005240,23,22,6,127,127,True
22,1000037,AS215,1001806,5,4,6,76,76,True
23,1000240,UR047,1006432,1,0,6,60,60,True
24,1000240,UR047,1006437,6,7,10,100,100,True
25,1000239,UR048,1006408,1,0,8,25,24,False
26,1000273,UR087,1006820,1,2,6,15,16,False
27,1000273,UR087,1006830,11,12,6,16,17,False
28,1000183,UR1057,1015275,90,91,14,2,3,True
29,1000315,UR1096,1008694,3,2,6,19,18,False
30,1000315,UR1096,1008696,5,4,6,60,60,True
31,1000315,UR1096,1008698,7,6,6,15,15,True
32,1000315,UR1096,1008700,9,8,6,12,12,True
33,1000315,UR1096,1008702,10,11,6,17,17,True
34,1000315,UR1096,1008704,13,12,6,45,45,True
35,1000315,UR1096,1008706,15,14,6,26,26,True
36,1000293,UR118,1007988,16,17,6,369,369,True
37,1000293,UR118,1007990,18,19,6,458,458,True
38,1000293,UR118,1007994,23,24,1,395,495,False
39,1000293,UR118,1008002,30,29,6,497,498,False
40,1000293,UR118,1008006,35,34,6,581,581,True
41,1000293,UR118,1008010,38,39,6,530,530,True
42,1000293,UR118,1008012,40,41,6,392,392,True
43,1000329,UR119,1012269,14,15,6,416,416,True
44,1000329,UR119,1012271,16,17,6,390,390,True
45,1000329,UR119,1012273,18,19,6,406,406,True
46,1000329,UR119,1012275,20,21,6,481,481,True
47,1000413,UR149,1014241,26,25,8,601,600,False
48,1000496,UR166,1016096,1,0,4,658,658,True
49,1000496,UR166,1016099,4,5,4,612,612,True
50,1000496,UR166,1016102,7,6,4,805,805,True
51,1000496,UR166,1016103,8,9,4,1417,1517,False
52,1000496,UR166,1016105,10,11,4,17,17,True
53,1000497,UR186,1016114,7,6,6,75,75,True
54,1000497,UR186,1016116,9,8,7,79,78,False
55,1000497,UR186,1016123,16,15,6,596,596,True
56,1000549,UR241,1018281,3,4,8,18,17,False
57,1000556,UR246,1018414,5,4,8,288,288,True
58,1000556,UR246,1018416,7,6,8,316,306,False
59,6000000,AS001,6000001,1,0,6,101,101,True
60,6000000,AS001,6000003,3,2,6,93,83,False
61,6000001,AS002,6000017,1,0,6,117,117,True
62,6000002,AS003,6000022,1,0,6,76,76,True
63,6000003,AS004,6000026,1,0,6,312,312,True
64,6000005,AS006,6000061,1,0,6,105,105,True
65,6000005,AS006,6000063,3,2,6,120,120,True
66,6000005,AS006,6000067,7,6,6,138,138,True
67,6000005,AS006,6000069,9,8,6,140,140,True
68,6000006,AS007,6000098,5,4,6,131,131,True
69,6000006,AS007,6000114,21,20,6,147,147,True
70,6000006,AS007,6000116,23,22,6,152,153,False
71,6000006,AS007,6000118,25,24,7,80,80,True
72,6000006,AS007,6000120,27,26,6,124,124,True
73,6000009,AS072,6000220,5,6,4,30,40,False
74,6000009,AS072,6000222,7,6,4,40,40,True
75,6000009,AS072,6000224,9,10,1,530,520,False
76,6000011,HP047,6000297,5,4,6,842,742,False
77,6000058,QU009,6001890,6,7,6,83,83,True
78,6000058,QU009,6001892,8,7,6,83,83,True
79,6000058,QU009,6001896,12,11,6,50,50,True
80,6000058,QU009,6001898,14,13,6,98,98,True
81,6000063,QU014,6002180,1,0,6,541,541,True
82,6000063,QU014,6002191,12,11,6,935,925,False
83,6000064,QU015,6002290,9,8,4,512,512,True
84,6000065,QU016,6002369,6,5,6,129,129,True
85,6000068,QU019,6002459,11,10,6,173,173,True
