,khipu_id,kfg_name,okr_name,original_name,legal_filename,nickname,museum_name,museum_num,museum_description,region,provenance,num_cord_clusters,mean_cords_per_cluster,max_subsidiary_branches,num_top_cord_double_sum_clusters,num_top_cord_sum_clusters,num_banded_clusters,num_seriated_clusters,num_decreasing_clusters,benford_match,hierarchical_cluster_pos,num_canuto_cords,num_cords,recto_cords,verso_cords,r_ratio,v_ratio,rv_cords,num_pendant_cords,num_nonzero_top_pendant_cords,num_top_cords,num_subsidiary_cords,num_s_cords,num_z_cords,mean_cord_value,fanout_ratio,num_total_cords,num_ascher_colors,knot_cluster_count,knot_count,mean_knots_per_cord,num_s_knots,num_z_knots,percent_s_knots,percent_z_knots,notes,pcord_notes
44,1000096,AS069,KH0082,AS069,AS069,,"owner Percy Dauelsberg, Arica, Chile",4,,Unknown,Lluta Valley,432,4.238425925925926,3,0,0,235,15,40,0.12312031358356867,427,13,1831,0,0,0.0,0.0,0,1650,0,0,181,0,0,7,1.1096969696969696,1831,41,446,1011,0.5521572910977608,0,0,0.0,0.0,"AS069-071 were excavated by their owner, Percy Dauelsberg, in 1965.  For discussion, see notes after AS069 (Ascher and Ascher 1987:490-491).",<br/>About 20.0 cm of the main cord is tied in one large knot.
496,1000541,UR231,KH0468,UR231,UR231,Odin,"Ethnologisches Museum, Berlin, Germany",VA63038(A),,"South Coast, Peru",Ica/Pisco,80,11.925,2,0,0,73,7,9,0.13899126264716388,199,0,954,0,863,0.0,100.0,863,864,0,0,90,952,0,27,1.1041666666666667,954,26,478,1057,1.1079664570230607,0,1056,0.0,0.9990539262062441,,Final twist: Braided
212,1000025,UR006,KH0242,UR006,UR006,Calendar Khipu,"Centro Mallqui, Leymebamba, Amazonas",CMA.625/LC1-254,,Chachapoyas,Leymebamba,63,13.873015873015873,3,0,0,34,29,2,0.641755428781693,476,0,874,339,412,45.0,55.0,751,571,0,10,303,844,0,3,1.5306479859894921,874,14,326,658,0.7528604118993135,37,619,0.05623100303951368,0.9407294832826748,"1.  No es seguro que les dos ""pendientes anillados"" (PA1 y PA2) estan orientadas arriba del cordon principal (la forma de anudar los pendientes al cordon principal es la misma de la de los pendientes anillados ""regulares"".",
319,1000183,UR1057,KH0068,AS057,UR1057,,"Museo de Ica, Ica, Peru",7,,Unknown,Unknown,94,6.26595744680851,3,1,1,44,49,1,0.2616831853136341,598,0,589,517,0,100.0,0.0,517,559,2,2,30,542,2,1,1.0536672629695885,589,10,181,233,0.39558573853989815,96,129,0.41201716738197425,0.5536480686695279,"1. Construction note: Each of these knots has a short cord tied through it.  The cords are about 2.0 cm long and are color YB:0G (on P1, 2, 4, 65, 67, 85-88, 108, 128, 130) or W (on P5-9, 69, 72, 73, 91, 93, 114, 133, 135).  They are attached at the bottom of the knots.  Figure 1 shows an example of an attachement to a 3L knot. (See Ascher notes page 340.)<br/>2. Construction note: The main cord begins with a fringed woven ball. (See Ascher notes page 341.)<br/>3. Construction note: (a) Markers are thick, short cords that are looped around the main cord, twisted about 4 times, and bound.  (b) In some cases (M3, M6, M11, M19, M20), the main cord has first been wrapped with YB:BB cord for a length of about 1.0 cm. (See Ascher notes page 341.)<br/>4. Construction note: Markers M32 and M39 each have a cord attached though them.  The cord are listed as T1 and T2 respectively because, as with the top cords, they are attached to the loops of the markers in the same way that a top cord is usually attached to the main cord. (See Ascher notes page 342.)<br/>5. Construction note: In addition to the markers, there are other exceptional cords attached to the main cord.  They are called ""flags.""  All are blank, YB, and much longer or shorter than surrounding cords.  (Because of the slight space between F2 and F4, and the discoloration of the main cord, it is assumed that an F3 was in that space.)<br/>6. By spacing, the quipu is seperated into 24 groups.  Each group has the same basic pattern: BB, (YB, W, YB, YB), BB, (YB, W, YB, YB), (YB, W, YB, YB), BB, Marker, (YB, W, YB, YB), (FB:W with a subsidiary of YB/0G, YB, 0G).  In groups that have less than 22 pendants, it is 1 or 2 of the BB cords that are non-existant.  Parentheses have been used to emphasize that each group is made up of 5 subgroups, with the first 4 having the same color pattern.  As well as there being a marker between the 3rd and 4th subgroup in each group, there are as many as 3 markers or 4 flags between some consecutive groups.<br/>7. The flag F1, just after the 7th group, separates the quipu into 2 parts.  (i) The first part, consisting of 7 groups, has pendant values from 0-104.  With 1 exception, all knots on pendants in subgroups 1 and 2 are tagged (see #1 above).  The tags in subgroup 1 are YB:0G, and those in subgroup 2 are W.<br/>(ii) By contrast, in part 2, consisting of 17 groups, there are no tagged knots.  The values also differ.  With the exception of the value on 1 subsidiary, all values are 0, 1, 2, or 4.  Moreover, most of the values in subgroups 1-3 are 0, most in subgroup 4 are 1, and the values 2 and 4 appear only in subgroup 5.",
631,6000073,UR004,KH0240,UR004,UR004,,"Centro Mallqui, Leymebamba, Amazonas",CMA 847-LC1.476 TEQ,,Chachapoyas,Leymebamba,73,7.8493150684931505,3,0,0,32,41,2,0.7912529017163916,210,0,573,213,246,46.0,54.0,459,482,0,0,91,540,0,21,1.1887966804979253,573,20,490,929,1.6212914485165795,71,857,0.07642626480086114,0.922497308934338,,Total length calculated from last measurement (123.0) plus space (72.0) and an additional 2.0 to account for the group of 9 pendants.
303,1000103,UR1032,KH0034,AS032,UR1032,,"Peabody Museum, Harvard University",42.28.30/4532,"Cultural Affiliation: Inca? Nasca.  Geo Locale: South Coast, Nazca Valley.  Identified by I. Guernsey.",Unknown,Nazca,108,5.0092592592592595,2,0,0,107,1,1,0.4355149338470775,492,0,541,8,403,2.0,98.0,411,415,0,0,126,540,0,0,1.3036144578313253,541,12,150,240,0.4436229205175601,104,131,0.43333333333333335,0.5458333333333333,,"<br/>Main cord: 2 components  1. White bundle Z-twist 2. 2 components, final Z-twist"
630,6000072,UR001,KH0237,UR001,UR001,,"Centro Mallqui, Leymebamba, Amazonas","""INC/LDC 108, LC1947.TEQ""",,Chachapoyas,Leymebamba,48,11.916666666666666,3,0,0,26,22,4,0.5245688853394116,62,0,572,255,206,55.0,45.0,461,407,0,0,165,550,0,162,1.4054054054054055,572,21,287,917,1.6031468531468531,9,904,0.009814612868047983,0.9858233369683751,,
644,6000087,UR190,KH0428,UR190,UR190,Paciolo,"Musee Quai Branly, Paris, France",71.1887.9.14,,"Central Coast, Peru","Huaca Perez, Lima (a.k.a Hda. Infantas and Tambo Inca)",22,18.954545454545453,2,0,0,7,15,16,0.9200224410805561,441,0,417,0,392,0.0,100.0,392,395,0,0,22,414,0,9,1.0556962025316456,417,14,425,602,1.4436450839328536,5,590,0.008305647840531562,0.9800664451827242,,
345,1000063,UR1114,KH0128,AS114,UR1114,,"Museum für Völkerkunde, Berlin",VA16148,,Unknown,Between Ica and Pisco,4,89.25,2,0,0,2,2,2,0.4027361457023465,182,2,357,0,0,0.0,0.0,0,339,0,0,18,357,0,25,1.0530973451327434,357,13,254,466,1.3053221288515406,26,440,0.055793991416309016,0.944206008583691,"This is one of several quipus acquired by the Museum in 1904 with provenance between Ica and Pisco.  For a complete listing and discussion, see AS098.<br/>See Ascher and Ascher 1987:780-781 for additional notes.",
620,6000062,QU013,QU013,QU13,QU013,,Dallas Museum of Art,B369/T41299.33.A-B,,"Inka, Late Horizon",Unknown,31,11.548387096774194,2,0,0,3,28,3,0.2932318319277387,480,0,358,135,226,37.0,63.0,361,337,0,0,21,357,1,26,1.0741839762611276,362,15,159,192,0.5363128491620112,136,56,0.7083333333333334,0.2916666666666667,,
